,PARID,"2021 BOR Final 
Assessed Value","2022 CCAO Initial 
Assessed Value",$ Difference,% Difference2,Class,Township,ADDRESS,geo_address,geocoded,lat,lon
55,17032200300000,"22,489,599","27,178,951","-4,689,352",-0.21,5-97,North Chicago,875 N MICHIGAN AVE,"875 N MICHIGAN AVE Cook County, IL","(41.8988085, -87.62308209999999)",41.8988085,-87.62308209999999
56,17044140300000,"4,823,539","9,374,894","-4,551,355",-0.94,3-91,North Chicago,1101 N DEARBORN ST,"1101 N DEARBORN ST Cook County, IL","(41.9020672, -87.6297592)",41.9020672,-87.6297592
57,17032040020000,"1,483,496","6,030,594","-4,547,098",-3.07,5-97,North Chicago,21 E BELLEVUE PL,"21 E BELLEVUE PL Cook County, IL","(41.9014563, -87.6274111)",41.9014563,-87.6274111
58,17032040010000,"1,252,840","5,799,938","-4,547,098",-3.63,5-97,North Chicago,21 E BELLEVUE PL,"21 E BELLEVUE PL Cook County, IL","(41.9014563, -87.6274111)",41.9014563,-87.6274111
59,17103040170000,"37,971,478","42,502,531","-4,531,053",-0.12,5-91,South Chicago,225 N MICHIGAN AVE,"225 N MICHIGAN AVE Cook County, IL","(41.8867634, -87.62326569999999)",41.8867634,-87.62326569999999
60,17102190250000,"9,410,538","13,907,924","-4,497,386",-0.48,3-97,North Chicago,455 E ILLINOIS ST,"455 E ILLINOIS ST Cook County, IL","(41.8909621, -87.61555489999999)",41.8909621,-87.61555489999999
61,17102180140000,"14,572,014","19,041,613","-4,469,599",-0.31,5-22,North Chicago,514 N PESHTIGO CT,"514 N PESHTIGO CT Cook County, IL","(41.8917054, -87.6153262)",41.8917054,-87.6153262
62,17092620230000,"16,429,772","20,861,814","-4,432,042",-0.27,5-91,North Chicago,28 W KINZIE ST,"28 W KINZIE ST Cook County, IL","(41.889393, -87.6300558)",41.889393,-87.6300558
63,17102120360000,"8,897,829","13,310,454","-4,412,625",-0.50,3-91,North Chicago,200 E ILLINOIS ST,"200 E ILLINOIS ST Cook County, IL","(41.89119609999999, -87.6221832)",41.89119609999999,-87.6221832
64,17091150120000,"7,104,734","11,338,892","-4,234,158",-0.60,3-91,North Chicago,425 W CHICAGO AVE,"425 W CHICAGO AVE Cook County, IL","(41.8962357, -87.6407524)",41.8962357,-87.6407524
65,17094000370000,"11,963,012","16,190,765","-4,227,753",-0.35,3-91,North Chicago,343 W WOLF POINT  PLAZA ,"343 W WOLF POINT  PLAZA  Cook County, IL","(41.8876107, -87.6382953)",41.8876107,-87.6382953
66,17094170050000,"13,630,176","17,834,705","-4,204,529",-0.31,5-91,South Chicago,222 N LA SALLE ST,"222 N LA SALLE ST Cook County, IL","(41.8864898, -87.6327)",41.8864898,-87.6327
67,17103180610000,"11,605,952","15,764,285","-4,158,333",-0.36,3-91,South Chicago,345 E WACKER DR,"345 E WACKER DR Cook County, IL","(41.8873535, -87.6187326)",41.8873535,-87.6187326
68,17044130150000,"4,118,492","8,239,579","-4,121,087",-1.00,3-91,North Chicago,1130 N DEARBORN ST,"1130 N DEARBORN ST Cook County, IL","(41.9029221, -87.63025429999999)",41.9029221,-87.63025429999999
