,PARID,"2021 BOR Final 
Assessed Value","2022 CCAO Initial 
Assessed Value",$ Difference,% Difference2,Class,Township,ADDRESS
127,17162270220000,3841090,5840883,-1999793,-0.5206316436219927,5-91,South Chicago,300 W JACKSON BLVD
128,17162270280000,3428671,5428464,-1999793,-0.5832560196064307,5-91,South Chicago,330 S FRANKLIN ST
129,17092440230000,6056422,8007326,-1950904,-0.3221215430496751,3-97,North Chicago,220 W ILLINOIS ST
130,17094210180000,9049479,10961016,-1911537,-0.21123171842268484,5-91,South Chicago,77 W WACKER DR
131,17094130030000,3759562,5658157,-1898595,-0.5050043063527081,5-91,South Chicago,219 N FRANKLIN ST
132,17084370180000,8785349,10671558,-1886209,-0.21469938189137383,5-91,West Chicago,120 N ABERDEEN ST
133,17092100070000,2383000,4251106,-1868106,-0.7839303399076794,3-91,North Chicago,155 W SUPERIOR ST
134,17092100160000,2379820,4247926,-1868106,-0.7849778554680606,3-91,North Chicago,139 W SUPERIOR ST
135,17094370080000,25929116,27774703,-1845587,-0.07117816897421414,5-91,South Chicago,161 N CLARK ST
136,17094040100000,6377356,8186481,-1809125,-0.28367947469139243,5-91,North Chicago,350 N LA SALLE ST
137,17153000220000,3838708,5645810,-1807102,-0.4707578695748673,3-91,South Chicago,638 S WABASH AVE
138,17164040330000,4642169,6392513,-1750344,-0.37705305429423186,3-91,South Chicago,730 S CLARK ST
139,17102100220000,13496106,15170206,-1674100,-0.1240431869755616,3-91,North Chicago,355 E ERIE ST
140,17153080220000,4320539,5948975,-1628436,-0.3769057518055039,3-91,South Chicago,1140 S WABASH AVE
141,17044510070000,10852719,12477206,-1624487,-0.14968479327622886,3-91,North Chicago,202 W HILL ST
142,17091300080000,10496808,12105151,-1608343,-0.15322210332893582,5-97,North Chicago,440 N KINGSBURY ST
143,17103060040000,5129320,6700791,-1571471,-0.3063702401098001,3-91,South Chicago,73 E LAKE ST
144,17162010160000,19644943,21206640,-1561697,-0.07949613292336855,5-91,South Chicago,71 S WACKER DR
145,17101100070000,2772374,4313610,-1541236,-0.5559264370535866,5-91,North Chicago,676 N SAINT CLAIR ST
146,17101100080000,2759174,4300410,-1541236,-0.5585860116107211,5-91,North Chicago,676 N SAINT CLAIR ST
147,17032040590000,2898101,4427859,-1529758,-0.527848408319793,3-91,North Chicago,40 E OAK ST
148,17164110200000,4492759,6013697,-1520938,-0.33853095614521056,3-91,South Chicago,850 S CLARK ST
149,17103040150000,13202080,14712431,-1510351,-0.11440250324191337,5-91,South Chicago,225 N MICHIGAN AVE
150,17044420280000,2385141,3885896,-1500755,-0.6292101808656176,3-91,North Chicago,8 W CHESTNUT ST
151,17044420270000,2379063,3879818,-1500755,-0.630817679061042,3-91,North Chicago,8 W CHESTNUT ST
152,17101010060000,3668342,5150007,-1481665,-0.4039059062650101,3-97,North Chicago,750 N RUSH ST
