,SOLD DATE,ADDRESS,CITY,PRICE,BEDS,BATHS,LOCATION,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL,LATITUDE,LONGITUDE,Unnamed: 0.2,URL,Unnamed: 0,URL.2,PRICE_AS_CURRENCY,YEAR BUILT DISPLAY,PRICE_SQUARE_FEET_AS_CURRENCY,COLOR,RANK,FULL_ADDRESS,Unnamed: 0.1,URL.1
1335,April-10-2023,11 E 4th St,Hinsdale,1600000.0,5.0,4.5,Hinsdale,1991.0,,280.0,,41.7991184,-87.9282453,640.0,https://www.redfin.com/IL/Hinsdale/11-E-4th-St-60521/home/14162178,,,"$1,600,000",1991,$280,blue,43,11 E 4th St Hinsdale,,
1334,April-10-2023,11 E 4th St,Hinsdale,1600000.0,5.0,4.5,Hinsdale,1991.0,,280.0,,41.7991184,-87.9282453,1320.0,,640.0,https://www.redfin.com/IL/Hinsdale/11-E-4th-St-60521/home/14162178,"$1,600,000",1991,$280,blue,44,11 E 4th St Hinsdale,,
640,April-10-2023,11 E 4th St,Hinsdale,1600000.0,5.0,4.5,Hinsdale,1991.0,,280.0,https://www.redfin.com/IL/Hinsdale/11-E-4th-St-60521/home/14162178,41.7991184,-87.9282453,,,,,"$1,600,000",1991,$280,blue,45,11 E 4th St Hinsdale,,
1337,April-20-2023,1212 Bonnema Ct,Naperville,1575000.0,6.0,5.5,Bonnema Woods,2002.0,,245.0,,41.7228161,-88.1061402,1321.0,,2908.0,https://www.redfin.com/IL/Naperville/1212-Bonnema-Ct-60565/home/23366097,"$1,575,000",2002,$245,blue,46,1212 Bonnema Ct Naperville,,
1336,April-20-2023,1212 Bonnema Ct,Naperville,1575000.0,6.0,5.5,Bonnema Woods,2002.0,,245.0,,41.7228161,-88.1061402,5822.0,https://www.redfin.com/IL/Naperville/1212-Bonnema-Ct-60565/home/23366097,,,"$1,575,000",2002,$245,blue,47,1212 Bonnema Ct Naperville,,
8736,April-20-2023,1212 Bonnema Ct,Naperville,1575000.0,6.0,5.5,Bonnema Woods,2002.0,,245.0,https://www.redfin.com/IL/Naperville/1212-Bonnema-Ct-60565/home/23366097,41.7228161,-88.1061402,,,,,"$1,575,000",2002,$245,blue,48,1212 Bonnema Ct Naperville,,
1339,April-17-2023,37 Tuttle Ave,Clarendon Hills,1553249.0,5.0,6.0,Clarendon Hills,2006.0,,403.0,,41.7990881,-87.9619272,34.0,https://www.redfin.com/IL/Clarendon-Hills/37-Tuttle-Ave-60514/home/18023728,,,"$1,553,249",2006,$403,blue,49,37 Tuttle Ave Clarendon Hills,,
1338,April-17-2023,37 Tuttle Ave,Clarendon Hills,1553249.0,5.0,6.0,Clarendon Hills,2006.0,,403.0,,41.7990881,-87.9619272,1322.0,,34.0,https://www.redfin.com/IL/Clarendon-Hills/37-Tuttle-Ave-60514/home/18023728,"$1,553,249",2006,$403,blue,50,37 Tuttle Ave Clarendon Hills,,
34,April-17-2023,37 Tuttle Ave,Clarendon Hills,1553249.0,5.0,6.0,Clarendon Hills,2006.0,,403.0,https://www.redfin.com/IL/Clarendon-Hills/37-Tuttle-Ave-60514/home/18023728,41.7990881,-87.9619272,,,,,"$1,553,249",2006,$403,blue,51,37 Tuttle Ave Clarendon Hills,,
1340,April-12-2023,1533 Sheridan Rd,Highland Park,1510000.0,4.0,4.5,Highland Park,2022.0,,346.0,,42.1804615,-87.793583,4756.0,https://www.redfin.com/IL/Highland-Park/1533-Sheridan-Rd-60035/home/17623955,,,"$1,510,000",2022,$346,blue,52,1533 Sheridan Rd Highland Park,,
7670,April-12-2023,1533 Sheridan Rd,Highland Park,1510000.0,4.0,4.5,Highland Park,2022.0,,346.0,https://www.redfin.com/IL/Highland-Park/1533-Sheridan-Rd-60035/home/17623955,42.1804615,-87.793583,,,,,"$1,510,000",2022,$346,blue,53,1533 Sheridan Rd Highland Park,,
1341,April-12-2023,1533 Sheridan Rd,Highland Park,1510000.0,4.0,4.5,Highland Park,2022.0,,346.0,,42.1804615,-87.793583,1323.0,,1842.0,https://www.redfin.com/IL/Highland-Park/1533-Sheridan-Rd-60035/home/17623955,"$1,510,000",2022,$346,blue,54,1533 Sheridan Rd Highland Park,,
1342,April-7-2023,41 S Lincoln Ave,Geneva,1500000.0,4.0,4.5,Geneva,1952.0,,448.0,,41.8880231,-88.317667,1169.0,https://www.redfin.com/IL/Geneva/41-S-Lincoln-Ave-60134/home/16974686,,,"$1,500,000",1952,$448,blue,55,41 S Lincoln Ave Geneva,,
1343,April-7-2023,41 S Lincoln Ave,Geneva,1500000.0,4.0,4.5,Geneva,1952.0,,448.0,,41.8880231,-88.317667,1324.0,,1169.0,https://www.redfin.com/IL/Geneva/41-S-Lincoln-Ave-60134/home/16974686,"$1,500,000",1952,$448,blue,56,41 S Lincoln Ave Geneva,,
1169,April-7-2023,41 S Lincoln Ave,Geneva,1500000.0,4.0,4.5,Geneva,1952.0,,448.0,https://www.redfin.com/IL/Geneva/41-S-Lincoln-Ave-60134/home/16974686,41.8880231,-88.317667,,,,,"$1,500,000",1952,$448,blue,57,41 S Lincoln Ave Geneva,,
1345,April-6-2023,377 S Sunnyside Ave,Elmhurst,1475000.0,5.0,4.5,Elmhurst,2022.0,,421.0,,41.8895438,-87.956726,787.0,https://www.redfin.com/IL/Elmhurst/377-S-Sunnyside-Ave-60126/home/18101687,,,"$1,475,000",2022,$421,blue,58,377 S Sunnyside Ave Elmhurst,,
1344,April-6-2023,377 S Sunnyside Ave,Elmhurst,1475000.0,5.0,4.5,Elmhurst,2022.0,,421.0,,41.8895438,-87.956726,1325.0,,787.0,https://www.redfin.com/IL/Elmhurst/377-S-Sunnyside-Ave-60126/home/18101687,"$1,475,000",2022,$421,blue,59,377 S Sunnyside Ave Elmhurst,,
787,April-6-2023,377 S Sunnyside Ave,Elmhurst,1475000.0,5.0,4.5,Elmhurst,2022.0,,421.0,https://www.redfin.com/IL/Elmhurst/377-S-Sunnyside-Ave-60126/home/18101687,41.8895438,-87.956726,,,,,"$1,475,000",2022,$421,blue,60,377 S Sunnyside Ave Elmhurst,,
542,April-26-2023,21 Gilbert Ave,Clarendon Hills,1415000.0,5.0,4.5,Clarendon Hills,1950.0,,328.0,https://www.redfin.com/IL/Clarendon-Hills/21-Gilbert-Ave-60514/home/18023391,41.7980256,-87.9589417,,,,,"$1,415,000",1950,$328,blue,61,21 Gilbert Ave Clarendon Hills,,
1346,April-26-2023,21 Gilbert Ave,Clarendon Hills,1415000.0,5.0,4.5,Clarendon Hills,1950.0,,328.0,,41.7980256,-87.9589417,1326.0,,542.0,https://www.redfin.com/IL/Clarendon-Hills/21-Gilbert-Ave-60514/home/18023391,"$1,415,000",1950,$328,blue,62,21 Gilbert Ave Clarendon Hills,,
1347,April-26-2023,21 Gilbert Ave,Clarendon Hills,1415000.0,5.0,4.5,Clarendon Hills,1950.0,,328.0,,41.7980256,-87.9589417,542.0,https://www.redfin.com/IL/Clarendon-Hills/21-Gilbert-Ave-60514/home/18023391,,,"$1,415,000",1950,$328,blue,63,21 Gilbert Ave Clarendon Hills,,
1349,April-14-2023,2S291 Nelson Lake Rd,Batavia,1410000.0,3.0,4.5,Batavia,2014.0,,139.0,,41.8354499,-88.3682839,1327.0,,1110.0,https://www.redfin.com/IL/Batavia/2S291-Nelson-Lake-Rd-60510/home/23130702,"$1,410,000",2014,$139,blue,64,2S291 Nelson Lake Rd Batavia,,
1110,April-14-2023,2S291 Nelson Lake Rd,Batavia,1410000.0,3.0,4.5,Batavia,2014.0,,139.0,https://www.redfin.com/IL/Batavia/2S291-Nelson-Lake-Rd-60510/home/23130702,41.8354499,-88.3682839,,,,,"$1,410,000",2014,$139,blue,65,2S291 Nelson Lake Rd Batavia,,
1348,April-14-2023,2S291 Nelson Lake Rd,Batavia,1410000.0,3.0,4.5,Batavia,2014.0,,139.0,,41.8354499,-88.3682839,1110.0,https://www.redfin.com/IL/Batavia/2S291-Nelson-Lake-Rd-60510/home/23130702,,,"$1,410,000",2014,$139,blue,66,2S291 Nelson Lake Rd Batavia,,
