,SOLD DATE,ADDRESS,CITY,PRICE,BEDS,BATHS,LOCATION,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL,LATITUDE,LONGITUDE,PRICE_AS_CURRENCY,YEAR BUILT DISPLAY,PRICE_SQUARE_FEET_AS_CURRENCY,COLOR,RANK,FULL_ADDRESS
622,April-5-2023,1515 S Prairie Ave #1319,Chicago,290000.0,1.0,1.5,CHI - Near South Side,2003.0,,322.0,https://www.redfin.com/IL/Chicago/1515-S-Prairie-Ave-60605/unit-1319/home/12678290,41.8617675,-87.6202181,"$290,000",2003,$322,blue,859,1515 S Prairie Ave #1319 Chicago
190,April-11-2023,1845 S Michigan Ave #1703,Chicago,290000.0,2.0,1.0,CHI - Near South Side,2003.0,,297.0,https://www.redfin.com/IL/Chicago/1845-S-Michigan-Ave-60616/unit-1703/home/12666786,41.8565623,-87.6234583,"$290,000",2003,$297,blue,860,1845 S Michigan Ave #1703 Chicago
783,April-21-2023,5616 N Glenwood Ave #1,Chicago,290000.0,2.0,1.0,CHI - Edgewater,1920.0,,322.0,https://www.redfin.com/IL/Chicago/5616-N-Glenwood-Ave-60660/unit-1/home/13410052,41.984238,-87.665231,"$290,000",1920,$322,blue,861,5616 N Glenwood Ave #1 Chicago
23,April-28-2023,2503 W Harrison St #4,Chicago,290000.0,2.0,2.0,CHI - Near West Side,2003.0,,215.0,https://www.redfin.com/IL/Chicago/2503-W-Harrison-St-60612/unit-4/home/12624678,41.8736281,-87.6889138,"$290,000",2003,$215,blue,862,2503 W Harrison St #4 Chicago
685,April-14-2023,211 E Ohio St #1003,Chicago,289000.0,2.0,2.0,CHI - Near North Side,1984.0,,251.0,https://www.redfin.com/IL/Chicago/211-E-Ohio-St-60611/unit-1003/home/12764140,41.8923975,-87.6216907,"$289,000",1984,$251,blue,863,211 E Ohio St #1003 Chicago
126,April-12-2023,2626 N Lakeview Ave #1308,Chicago,288000.0,2.0,2.0,CHI - Lincoln Park,1969.0,,231.0,https://www.redfin.com/IL/Chicago/2626-N-Lakeview-Ave-60614/unit-1308/home/13367474,41.9303836,-87.639729,"$288,000",1969,$231,blue,864,2626 N Lakeview Ave #1308 Chicago
1596,April-28-2023,3420 N Lake Shore Dr Unit 6HI,Chicago,287500.0,2.0,2.0,CHI - Lake View,1955.0,,192.0,https://www.redfin.com/IL/Chicago/3420-N-Lake-Shore-Dr-60657/unit-6HI/home/181481689,41.9438839,-87.641285,"$287,500",1955,$192,blue,865,3420 N Lake Shore Dr Unit 6HI Chicago
441,April-26-2023,70 W Burton Pl Unit 1607F,Chicago,287000.0,1.0,1.0,CHI - Near North Side,1967.0,,,https://www.redfin.com/IL/Chicago/70-W-Burton-Pl-60610/unit-1607F/home/14114066,41.9096241,-87.6312381,"$287,000",1967,$nan,blue,866,70 W Burton Pl Unit 1607F Chicago
1610,April-4-2023,700 W Van Buren St #607,Chicago,287000.0,2.0,1.5,Platinum Tower,2001.0,,324.0,https://www.redfin.com/IL/Chicago/700-W-Van-Buren-St-60607/unit-607/home/12714606,41.8769207,-87.6442776,"$287,000",2001,$324,blue,867,700 W Van Buren St #607 Chicago
1057,April-24-2023,6753 N Newgard Ave Unit 2N,Chicago,286500.0,2.0,2.0,CHI - Rogers Park,1920.0,,215.0,https://www.redfin.com/IL/Chicago/6753-N-Newgard-Ave-60626/unit-2N/home/183804623,42.005156,-87.666718,"$286,500",1920,$215,blue,868,6753 N Newgard Ave Unit 2N Chicago
