Name,Region,Research URL,Description,Use Case,Data type,Brokerage type,Notes
Norada Real Estate,Los Angeles,https://www.noradarealestate.com/blog/los-angeles-real-estate-market/,Residential investment property listing platform for Los Angeles.,"Blog has regular articles on market trends, forecasts and data on Los Angeles real estate.",Residential,Commercial,"Property database is national, but research just seems to be for LA. Also, data is residential but this is really for investors/rental owners, making this more of a commercial platform."
ManageCasa,California,https://managecasa.com/articles/california-housing-market-report/,Platform for property and community association management.,Publishes annual market report on residental market in California.,Residential,N/A,
Daum Commercial,Los Angeles,https://daumcommercial.com/services/market-research/,Los Angeles commerical real estate brokerage and services firm.,Publishes office and industrial reports for various Los Angeles neighborhoods.,Commercial,Commercial,
Lucid Realty,Chicago,https://blog.lucidrealty.com/chicago-real-estate-statistics/,Chicago-area discount residential brokerage.,Compiles a range on Chicago metro area home statistics.,Residential,Residential,
Z Chicago,Chicago,https://www.zchicago.com/blog/,Chicago-area residential brokerage.,Publishes monthly market trends on Chicago.,Residential,Residential,Reports stopped in 2021 - consider deleting?
Town & Country Real Estate,Hamptons & North Fork,https://www.townandcountryhamptons.com/market-reports/,Hamptons and North Fork residential brokerage.,"Publishes quarterly and annual residential reports, including most expenses home sales, for the Hamptons and North Fork areas.",Residential,Residential,
Serhant,NYC,https://serhant.com/market-knowledge,Residential New York-based brokerage.,Publishes quarterly reports on the NYC boroughs.,Residential,Residential,
Coldwell Banker Warburg,NYC,https://cbwarburg.com/marketreport/,Residential New York-based brokerage.,Publishes a quarterly market report on NYC residential industry.,Residential,Residential,
Leslie Garfield,NYC,https://lesliegarfield.com/reports,Boutique residential brokerage focusing on New York City townhouses.,Provides yearly reports on New York townhouse market for various boroughs.,Residential,Residential,
Berkshire Hathaway Home Services,"NY State, MA, CT",https://www.bhhsnyproperties.com/market-report,"Residential brokerage for NY state, MA and CT.",Provides monthly and quarterly market reports on these regions.,Residential,Residential,
Knight Frank,Worldwide,https://www.knightfrank.com/research/report-library,Commercial real estate services firm worldwide.,"Publishes a range of insights on various markets and commercial asset classes, along with an annual wealth report.",Commercial,Commercial,
Barnes International Realty,"NYS, NYC, Hamptons, CT",https://barnes-newyork.com/tag/real-estate-report/,Residential and commercial brokerage in NYC and the surrounding areas.,Publishes an annual report on global luxury real estate.,Residential,Residential and Commercial,
MNS,NYC,https://www.mns.com/data,Residential brokerage in NYC focusing on new developments and rentals; also has an in-house leasing platform.,"Monthly and annual rental data on Manhattan, the Bronx, Queens and Brooklyn submarkets.",Residential,Residential,
Modern Spaces,"NYC, NJ",https://www.modernspacesnyc.com/Home/Reports,Residental and commercial brokerage serving Queens and Jersey City.,Publishes quarterly reports on the Queens and Jersey City residential and commercial sectors.,Residential and Commercial,Residential and Commercial,
Marketing Directors,National,https://www.themarketingdirectorsinc.com/blog,Residential development advisors.,"Publishes quarterly, market-based luxury residental rental snapshots.",Residential,N/A,
Olshan Market Reports,NYC,https://olshan.com/marketreport.php,NYC-based luxury residentail brokerage.,"Publishes weekly luxury market report, with details on contracts signed.",Residential,Residential,
Houlihan Lawrence,"NYS, CT",https://www.houlihanlawrence.com/our-insights,Luxury residential brokerage for NYC metro-area suburbs in NY state and CT.,Publishes town-level home sales info in NYC suburbs like Westchester County and Fairfield County.,Residential,Residential,
William Pitt Julia B. Fee Sotheby's International Realty,"CT, NY state, MA",https://www.williampitt.com/market-watch/,New England residential brokerage.,"Provides quarterly market insights on Westchester County, Columbia County (NY), the Berkshires and CT.",Residential,Residential,
CoStar,National,http://www.costar.com,Commercial real estate listings and analytics platform,"Publishes a range of commercial real estate data, including rankings of top leases, sales, deals, etc.",Commercial,N/A,
RealPage,National,https://www.realpage.com/analytics/,National multifamily data provider.,Provides numerous data points on markets around the U.S. for the multifamily industry.,Commercial,,
Green Street,Worldwide,https://www.greenstreet.com/,Commercial real estate data provider.,Publishes a monthly Commercial Property Price Forecast among its commercial real estate analytics.,Commercial,,
