Status,Address,City Name,List Price Chg Date,Original List Price,List Price,% Change from Original To List Price,Sale Price,SP$/SqFt,% Change from Original to Sold Price,LP$/SqFt,SP$/LP$,CDOM (Days on Market),#Beds,#FBaths,#HBaths,SqFt Liv Area,Lot SqFt,#Garage Spaces,Pool YN,Year Built,Closing Date,List Price Chg Date,Days to Closing from Price Change
Active,7520 Miami View Dr,North Bay Village,,"$9,400,000.00","$9,400,000.00",0% ,,,,"$1,800.77",,21,5,6,0,"5,220","XXX8,050.00",0,Yes,1954,,03/09/2023,
Active,7520 W Treasure Dr,North Bay Village,,"$9,500,000.00","$9,500,000.00",0% ,,,,"$1,874.14",,123,6,6,1,"5,069","XXX8,400.00",2,Yes,2022,,03/01/2023,
Active,2037 NE 121st Rd,North Miami,,"$9,900,000.00","$9,900,000.00",0% ,,,,"$1,622.15",,476,7,8,1,"6,103","XXX12,500.00",4,Yes,2023,,09/21/2022,
Active,415 E Rivo Alto Dr,Miami Beach,,"$10,800,000.00","$10,800,000.00",0% ,,,,"$2,019.82",,270,6,6,2,"5,347","10,833",2,Yes,2024,,02/07/2023,
Active,325 E San Marino Dr,Miami Beach,,"$10,900,000.00","$10,900,000.00",0% ,,,,"$3,378.80",,230,4,3,1,"3,226","XXX10,500.00",2,Yes,1940,,08/25/2022,
Active,2995 Flamingo Dr,Miami Beach,,"$10,900,000.00","$10,900,000.00",0% ,,,,"$2,241.88",,508,5,5,1,"4,862","XXX16,939.00",2,Yes,1950,,06/17/2022,
Active,5529 Pine Tree Dr,Miami Beach,,"$11,450,000.00","$11,450,000.00",0% ,,,,"$3,275.17",,149,5,4,1,"3,496","XXX15,708.00",0,Yes,1967,,10/31/2022,
Active,214 W Rivo Alto Dr,Miami Beach,,"$11,500,000.00","$11,500,000.00",0% ,,,,"$3,465.94",,296,4,4,1,"3,318","XXX10,500.00",2,Yes,1941,,01/08/2023,
Active,7950 Biscayne Point Cir,Miami Beach,,"$12,500,000.00","$12,500,000.00",0% ,,,,"$3,872.37",,101,3,2,0,"3,228","XXX12,150.00",2,Yes,1955,,12/08/2022,
Active,4510 Prairie Ave,Miami Beach,,"$12,950,000.00","$12,950,000.00",0% ,,,,"$2,453.12",,72,6,6,1,"5,279","XXX12,145.00",2,Yes,2018,,12/29/2022,
Active,1220 S Biscayne Point Rd,Miami Beach,,"$13,500,000.00","$13,500,000.00",0% ,,,,"$2,489.40",,56,6,6,,"5,423","XXX11,250.00",2,Yes,2015,,01/26/2023,
Active,1485 Cleveland Rd,Miami Beach,,"$13,500,000.00","$13,500,000.00",0% ,,,,"$2,410.71",,139,6,6,1,"5,600","XXX11,250.00",2,Yes,2023,,11/04/2022,
Active,5369 Pine Tree Dr,Miami Beach,,"$13,750,000.00","$13,750,000.00",0% ,,,,"$2,077.04",,52,7,6,3,"6,620","XXX12,819.00",2,Yes,1929,,01/31/2023,
Active,527 E Dilido Dr,Miami Beach,,"$13,900,000.00","$13,900,000.00",0% ,,,,"$4,090.64",,227,4,4,0,"3,398","XXX10,500.00",2,Yes,1932,,03/21/2022,
Active,9056 Bay Dr,Surfside,,"$14,000,000.00","$14,000,000.00",0% ,,,,"$5,826.05",,102,0,0,0,,"XXX9,250.00",0,Yes,1959,,09/20/2022,
Active,291 N Coconut Ln,Miami Beach,,"$14,400,000.00","$14,400,000.00",0% ,,,,"$3,877.22",,127,4,5,0,"3,714","XXX7,000.00",2,Yes,2024,,11/16/2022,
