|URL|URL_2|HED|DEK|ADDRESS|description_link|PUB_YEAR|geo_address|loc|point|lat|lon|altitude
515|https://therealdeal.com/chicago/?p=151463|https://therealdeal.com/chicago/?p=151463|Iowa pension system buys South Loop strip mall for $50M|Tucker Development bought the strip mall in 2005 for $36 million|1254 South Canal Street|"<a href=""https://therealdeal.com/chicago/?p=151463"" target=""_blank"" rel=""noopener noreferrer"">The Iowa Public</a> Employee Retirement System bought a South Loop strip mall for $50 million."|2018|1254 South Canal Street Chicago, IL|1254 S Canal St, Chicago, IL 60607, USA|(41.8656521, -87.6402105, 0.0)|41.8656521|-87.6402105|0.0
516|https://therealdeal.com/chicago/?p=151487|https://therealdeal.com/chicago/?p=151487|Sterling Bay spec warehouse plan nixed over traffic, environmental concerns|The prolific Chicago developer was seeking a height variance on a suburban property near a forest preserve|55 just east of Cass Avenue|"<a href=""https://therealdeal.com/chicago/?p=151487"" target=""_blank"" rel=""noopener noreferrer"">City officials</a> rejected Sterling Bay’s bid to build a spec warehouse in Darien over traffic and environmental concerns."|2018|55 just east of Cass Avenue Chicago, IL|S Cass Ave, Downers Grove Township, IL, USA|(41.736975, -87.9733036, 0.0)|41.736975|-87.9733036|0.0
517|https://therealdeal.com/chicago/?p=151523|https://therealdeal.com/chicago/?p=151523|Blackstone’s overhaul of Willis Tower to include new food hall|Urbanspace will occupy part of the 300K sf addition at the base of the skyscraper|233 South Wacker Drive|"<a href=""https://therealdeal.com/chicago/?p=151523"" target=""_blank"" rel=""noopener noreferrer"">The Blackstone Group</a> is adding a food hall to the Willis Tower as part of its $668 million renovation project at the iconic skyscraper."|2018|233 South Wacker Drive Chicago, IL|233 S Wacker Dr, Chicago, IL 60606, USA|(41.878474, -87.6363853, 0.0)|41.878474|-87.6363853|0.0
518|https://therealdeal.com/chicago/?p=151783|https://therealdeal.com/chicago/?p=151783|Newport Realty to start Lakeview rental project|The construction will bring 24 resi units over ground-floor retail at a key neighborhood intersection|3200 North Southport Avenue|"<a href=""https://therealdeal.com/chicago/?p=151783"" target=""_blank"" rel=""noopener noreferrer"">Newport Realty will</a> start on an apartment project at a key intersection in Lakeview."|2018|3200 North Southport Avenue Chicago, IL|3200 N Southport Ave, Chicago, IL 60657, USA|(41.94000399999999, -87.663968, 0.0)|41.94000399999999|-87.663968|0.0
519|https://therealdeal.com/chicago/?p=151851|https://therealdeal.com/chicago/?p=151851|Mack-Cali vet Mitchell Rudin will be the new Savills Studley prez|Will replace Michael Colacino at the international brokerage firm|40 investment sales firms in 2017, Savills St|"<a href=""https://therealdeal.com/chicago/?p=151851"" target=""_blank"" rel=""noopener noreferrer"">One of New York’s</a> top commercial leasing brokerages has a new addition to its c-suite."|1518|40 investment sales firms in 2017, Savills St Chicago, IL|Chicago, IL, USA|(41.8781136, -87.6297982, 0.0)|41.8781136|-87.6297982|0.0
520|https://therealdeal.com/chicago/?p=151883|https://therealdeal.com/chicago/?p=151883|BMO Harris Bank in talks to anchor new office tower near Union Station|The lease with Convexity Properties and Riverside Investment & Development could be for as much as 500K sf|115 South LaSalle Street, 111 West Monroe Street|"<a href=""https://therealdeal.com/chicago/?p=151883"" target=""_blank"" rel=""noopener noreferrer"">BMO Harris Bank is</a> in negotiations to anchor a new office tower next to Union Station."|2018|115 South LaSalle Street, 111 West Monroe Street Chicago, IL|111 S La Salle St, Chicago, IL 60603, USA|(41.8802809, -87.6319769, 0.0)|41.8802809|-87.6319769|0.0
521|https://therealdeal.com/chicago/?p=151995|https://therealdeal.com/chicago/?p=151995|Barrington area sees nosedive in home sales, prices this year|Home sales in the northwest suburbs have dropped 14 percent this year amid sluggish demand for luxury estates|291 Donlea Road|"<a href=""https://therealdeal.com/chicago/?p=151995"" target=""_blank"" rel=""noopener noreferrer"">The sputtering</a> market for expensive older houses is taking a heavy toll on the Barrington area."|2018|291 Donlea Road Chicago, IL|291 Donlea Rd, Barrington, IL 60010, USA|(42.143711, -88.20030799999999, 0.0)|42.143711|-88.20030799999999|0.0
522|https://therealdeal.com/chicago/?p=152043|https://therealdeal.com/chicago/?p=152043|Four years after opening, 20 percent of  1 WTC remains empty. Here’s why|"""It’s a site that’s had continued construction for the last 17 years."""|1 WTC, told the Wall Street Journal.St|"<a href=""https://therealdeal.com/chicago/?p=152043"" target=""_blank"" rel=""noopener noreferrer"">Four years after</a> opening its doors, 20 percent of 1 World Trade Center remains empty."|1520|1 WTC, told the Wall Street Journal.St Chicago, IL|Chicago, IL, USA|(41.8781136, -87.6297982, 0.0)|41.8781136|-87.6297982|0.0
523|https://therealdeal.com/chicago/?p=152075|https://therealdeal.com/chicago/?p=152075|New Union Station plan ditches apartments, adds retail and park|The 60K sf park would separate the station from a 1.5M sf office tower|110 North Wacker Drive|"<a href=""https://therealdeal.com/chicago/?p=152075"" target=""_blank"" rel=""noopener noreferrer"">Riverside Investment</a> & Development and Convexity Properties have nixed all 404 apartments from their proposal to redevelop Union Station and have added a 1.5-acre park, conceding to neighbors who lambasted their June proposal to plunk a seven-story addition on top of the historic building."|2018|110 North Wacker Drive Chicago, IL|110 N Upper Wacker Dr, Chicago, IL 60606, USA|(41.8834084, -87.637378, 0.0)|41.8834084|-87.637378|0.0
524|https://therealdeal.com/chicago/?p=152103|https://therealdeal.com/chicago/?p=152103|Dayton Street buys industrial building west of Fulton Market|The firm will maintain it as a warehouse, instead of redeveloping, to provide a last-mile location near booming West Loop|2501 West Fulton Street|"<a href=""https://therealdeal.com/chicago/?p=152103"" target=""_blank"" rel=""noopener noreferrer"">Dayton Street</a> Partners bought an industrial building west of Fulton Market, but instead of redeveloping it the firm will maintain it as a warehouse near the booming West Loop."|2018|2501 West Fulton Street Chicago, IL|2501 W Fulton St, Chicago, IL 60612, USA|(41.8854889, -87.6894094, 0.0)|41.8854889|-87.6894094|0.0
