borough,block,lot,cd,council,zipcode,address,zonedist1,bldgclass,landuse,ownertype,ownername,Final,lotarea, bldgarea ,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,xcoord,ycoord,zonemap,version,latitude,longitude
MN,1995,53,109,7,10027,558 RIVERSIDE DRIVE,R8,D3,3,X,THE TRUSTEES OF COLUMBIA UNIVERSITY IN T HE,COLUMBIA UNIVERSITY,21075,"  256,528 ",78896,177632,0,0,78896,0,0,0,1,26,146,146,85,132,85,126,585000,8769150,1968,0,0,,,12.17,6.02,0,6.5,1,1019950053,995349,236901,5c,22v2,40.8169072,-73.9599017
MN,1464,30,108,5,10021,428 YORK AVENUE,R8,H8,8,X,CORNELL UNIVERSITY,CORNELL UNIVERSITY,30527,250171,,,,,,,,,1,15,0,3,304,100.42,376,96,5076000,21748950,1974,2004,0,,,8.2,6.02,0,6.5,1,1014640030,996413,218311,9a,22v2,40.7658813,-73.9560913
BX,2343,14,201,17,10451,448 GRAND CONCOURSE,C4-4,W6,8,O,HOSTOS COMMUNITY COLLEGE,HOSTOS COMMUNITY COLLEGE,49332,238500,238500,0,0,0,0,0,0,238500,1,5,0,1,404.25,151.67,303,201,616500,42236100,1988,0,0,,,4.83,3.44,3.4,6.5,2,2023430014,1004356,237121,6a,22v2,40.8174951,-73.9273606
MN,843,22,105,2,10003,21 UNION SQUARE,C6-2A,H8,8,,NY UNIVERSITY,NEW YORK UNIVERSITY,28125,238204,26683,0,11500,5730,9453,0,0,0,3,12,0,4,89.5,216.83,89.5,216,8865000,22910400,1986,0,0,,,8.47,6.02,6,6.5,1,1008430022,986603,207573,12c,22v2,40.7364162,-73.9915094
MN,176,18,101,1,10013,40 LEONARD STREET,C6-4,W8,8,X,NEW YORK LAW SCHOOL,NEW YORK LAW SCHOOL,24079,235000,235000,0,0,0,0,0,0,235000,1,9,0,1,200.83,100,0,0,2967750,96579900,2006,0,0,,,9.76,10,10,10,1,1001760018,982378,200798,12a,22v2,40.7178206,-74.0067531
MN,538,40,102,1,10012,566 LA GUARDIA PLACE,R7-2,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,23402,232930,232930,0,0,0,0,0,0,232930,1,11,0,1,210,121,119.42,209,3159450,53072100,2000,0,0,,,9.95,3.44,0,6.5,1,1005380040,984829,205156,12c,22v2,40.7297825,-73.9979109
MN,1475,9005,108,5,10065,518 EAST 63 STREET,,I4,8,X,THE ROCKEFELLER UNIVERSITY,THE ROCKEFELLER UNIVERSITY,42035,504420,504420,0,0,0,0,0,0,504420,1,26,0,0,210,172,0,0,5850000,74956050,1987,0,0,,,12,0,0,0,1,1014759005,,,,22v2,,
MN,559,12,103,2,10003,106 EAST 14 STREET,C6-4,H8,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,18447,216267,1000,0,0,1000,0,0,0,0,1,20,172,173,100,206.5,100,190,5850000,15179850,1998,2018,0,,,11.72,10,10,10,1,1005590012,987230,206581,12c,22v2,40.7336932,-73.9892473
MN,1998,17,109,7,10027,615 WEST 131 STREET,C6-1,O5,5,X,TRUSTEES OF COLUMBIA UNIVERSITY IN THE C ITY OF NEW,COLUMBIA UNIVERSITY,34970,"  210,000 ",210000,0,176400,33600,0,0,0,0,1,6,0,6,175,199.83,175,200,945000,22653000,1924,1997,2006,,,6.01,3.44,6,6.5,1,1019980017,995915,237427,5c,22v2,40.8183502,-73.9578559
BX,5774,240,208,11,10463,3825 CORLEAR AVENUE,R6,W6,8,X,MANHATTAN COLLEGE,MANHATTAN COLLEGE,83670,203837,203837,0,0,0,0,0,0,203837,1,3,0,3,455.67,213.42,277,162,752850,28936350,1947,2018,0,,,2.44,2.43,0,4.8,2,2057740240,1011468,262208,1d,22v2,40.8863324,-73.9015644
