URL,Tags
https://therealdeal.com/chicago/2022/11/09/waldorf-astoria-condo-sells-for-5-3m-after-price-cuts/,"meter,gold coast,housing market,luxury real estate,residential real estate,waldorf astoria"
https://therealdeal.com/chicago/2022/11/09/pritzker-kaegi-pappas-secure-reelection-property-tax-hike-approved/,"meter,fritz kaegi,gov. j. b. pritzker,property taxes"
https://therealdeal.com/chicago/2022/11/09/hersch-klaff-seeks-south-loop-retail-buyer-for-11m/,"meter,downtown,retail"
https://therealdeal.com/chicago/2022/11/09/gw-properties-gets-16m-in-six-corners-medical-office-sale/,"meter,chicago,medical office,north side,portage park,six corners"
https://therealdeal.com/chicago/2022/11/09/city-provides-funding-for-resi-conversion-on-illinois-tech-campus/,"meter,armour square,conversion"
https://therealdeal.com/chicago/2022/11/08/property-owners-sue-chicago-suburb-over-zoning-dispute-thwarted-sale/,"subscriber-inline,cook county,lawsuits,suburban chicago"
https://therealdeal.com/chicago/2022/11/08/lakefront-glencoe-mansion-asks-for-3m-markup-from-2019-sale/,"meter,glencoe,housing market,luxury real estate,north shore,residential real estate"
https://therealdeal.com/chicago/2022/11/08/hinsdale-mansion-seeks-record-9-6m-in-fast-flip/,"meter,chicago suburbs,hinsdale,luxury housing"
https://therealdeal.com/chicago/2022/11/08/fundamental-advisors-venture-selling-historic-blackstone-hotel/,"meter,chicago hotels,downtown,jll"
https://therealdeal.com/chicago/2022/11/08/cbre-unit-takes-loss-on-61m-northbrook-retail-deals/,"subscriber-inline,cbre,grocery stores,retail market,suburban chicago"
https://therealdeal.com/chicago/2022/11/08/bears-score-predevelopment-agreement-with-arlington-heights/,"meter,arlington heights,chicago bears,stadiums,suburban chicago"
https://therealdeal.com/chicago/2022/11/07/steven-crown-revealed-as-buyer-of-17-4m-gold-coast-condo/,"meter,gold coast,luxury"
https://therealdeal.com/chicago/2022/11/07/shanahan-enterprises-gets-12m-on-south-elgin-property/,"subscriber-inline,industrial market,self storage,suburban chicago"
https://therealdeal.com/chicago/2022/11/07/movers-eq-office-names-britton-derkac-head-of-leasing-more/,"meter,cbre,colliers,eq office,jll"
https://therealdeal.com/chicago/2022/11/07/chicago-transfer-tax-hike-on-1m-plus-deals-heading-to-full-council/,"meter,chicago city council,homelessness,north side,property taxes"
https://therealdeal.com/chicago/2022/11/07/chicago-area-dispensaries-part-of-diddys-185m-cannabis-purchase/,"meter,cannabis,celebrity real estate,retail market,sean “diddy” combs,suburban chicago"
https://therealdeal.com/chicago/2022/11/07/1920s-lake-forest-estate-hits-the-market-with-8m-price-tag/,"subscriber-inline,housing market,lake forest,luxury real estate,residential real estate"
https://therealdeal.com/chicago/2022/11/04/sl-green-wins-rejection-against-hna-transfer-of-loop-tower/,"subscriber-inline,chicago,commercial real estate,hna,sl green"
https://therealdeal.com/chicago/2022/11/04/mat-limited-buying-redeveloping-damen-silos-for-6-5m/,"meter,governor j.b. pritzker,industrial market,lower west side"
