,URL,Tags,URL_2,HED,DEK,ADDRESS,description_link,PUB_YEAR,geo_address,loc,point,lat,lon,altitude
1174,https://therealdeal.com/chicago/2019/04/03/gold-coast-mansion-is-neighborhoods-latest-pricey-resi-listing-to-hit-the-market/,"archive-paywall,gold coast,residential real estate",https://therealdeal.com/chicago/2019/04/03/gold-coast-mansion-is-neighborhoods-latest-pricey-resi-listing-to-hit-the-market/,Gold Coast mansion is neighborhood’s latest pricey resi listing to hit the market,"Several mansions within a few blocks are for sale with big asking prices, including the new $5.5M listing on Division Street",53 East Division Street,"<a href=""https://therealdeal.com/chicago/2019/04/03/gold-coast-mansion-is-neighborhoods-latest-pricey-resi-listing-to-hit-the-market/"" target=""_blank"" rel=""noopener noreferrer"">A 7,500-square-foot</a> Gold Coast mansion hit the market Wednesday at $5.5 million, the latest pricey residential listing in the neighborhood.",2019,"53 East Division Street Chicago, IL","53 E Division St, Chicago, IL 60610, USA","(41.9037505, -87.6265992, 0.0)",41.9037505,-87.6265992,0.0
1175,https://therealdeal.com/chicago/2019/04/02/onni-group-lands-60-million-loan-for-west-loop-office-acquisition/,"archive-paywall,commercial real estate,office,onni group,west loop",https://therealdeal.com/chicago/2019/04/02/onni-group-lands-60-million-loan-for-west-loop-office-acquisition/,Onni Group lands $60 million loan for West Loop office acquisition,The Canadian developer bought its second office building in the Chicago market for $78M,550 West Van Buren Street,"<a href=""https://therealdeal.com/chicago/2019/04/02/onni-group-lands-60-million-loan-for-west-loop-office-acquisition/"" target=""_blank"" rel=""noopener noreferrer"">Onni Group secured a</a> $60 million loan for its acquisition of a West Loop office building, adding to its growing portfolio of Chicago office and multifamily properties.",2019,"550 West Van Buren Street Chicago, IL","550 W Van Buren St, Chicago, IL 60607, USA","(41.8769783, -87.64154189999999, 0.0)",41.8769783,-87.64154189999999,0.0
1176,https://therealdeal.com/chicago/2019/04/02/lakefront-mansion-sells-in-5-days-bucking-luxury-market-trends/,"archive-paywall,glencoe,luxury home sales,north shore,residential real estate",https://therealdeal.com/chicago/2019/04/02/lakefront-mansion-sells-in-5-days-bucking-luxury-market-trends/,"Lakefront mansion sells in 5 days, bucking luxury market trends",The Glencoe mansion formerly owned by novelist Scott Turow sold for $5.2 million,325 Shoreline Court,"<a href=""https://therealdeal.com/chicago/2019/04/02/lakefront-mansion-sells-in-5-days-bucking-luxury-market-trends/"" target=""_blank"" rel=""noopener noreferrer"">Bucking a trend for</a> the luxury market, a North Shore lakefront home went under contract in less than a week.",2019,"325 Shoreline Court Chicago, IL","Chicago, IL, USA","(41.8781136, -87.6297982, 0.0)",41.8781136,-87.6297982,0.0
1177,https://therealdeal.com/chicago/2019/04/01/simon-property-launches-online-platform-to-drive-sales-at-outlet-stores/,"archive-paywall,commercial real estate,retail,simon property group",https://therealdeal.com/chicago/2019/04/01/simon-property-launches-online-platform-to-drive-sales-at-outlet-stores/,Simon Property launches online platform to drive sales at outlet stores,"""Shop Premium Outlets"" program is aimed at complementing mall giant's brick-and-mortar business",1650 Premium Outlet Boulevard,"<a href=""https://therealdeal.com/chicago/2019/04/01/simon-property-launches-online-platform-to-drive-sales-at-outlet-stores/"" target=""_blank"" rel=""noopener noreferrer"">Simon Property Group</a> is launching an online shopping platform designed to drive sales to its nationwide network of outlet stores.",2019,"1650 Premium Outlet Boulevard Chicago, IL","Chicago, IL, USA","(41.8781136, -87.6297982, 0.0)",41.8781136,-87.6297982,0.0
1178,https://therealdeal.com/chicago/2019/03/27/no-mans-land-how-trump-tower-became-chicago-retails-biggest-failure/,"archive-paywall,commercial real estate,retail,trump organization,trump tower",https://therealdeal.com/chicago/2019/03/27/no-mans-land-how-trump-tower-became-chicago-retails-biggest-failure/,“No man’s land”: How Trump Tower became Chicago retail’s biggest failure,"A decade after the tower opened, it has just one small retail tenant",871 North Rush Street,"<a href=""https://therealdeal.com/chicago/2019/03/27/no-mans-land-how-trump-tower-became-chicago-retails-biggest-failure/"" target=""_blank"" rel=""noopener noreferrer"">About a year before</a> the 2005 groundbreaking for Trump International Hotel & Tower, Trump Organization executive Charles Reiss met the late Chicago real estate broker Bruce Kaplan and his colleague, Leslie Karr. The Trump family, Reiss said, wanted advice on how to market the retail space that would face the Chicago River at the tower’s base.",2019,"871 North Rush Street Chicago, IL","871 N Rush St, Chicago, IL 60611, USA","(41.8986196, -87.6262017, 0.0)",41.8986196,-87.6262017,0.0
1179,https://therealdeal.com/chicago/2019/03/27/midwest-property-group-moving-forward-with-river-north-office-project/,"archive-paywall,commercial real estate,office,river north",https://therealdeal.com/chicago/2019/03/27/midwest-property-group-moving-forward-with-river-north-office-project/,Midwest Property Group moving forward with River North office project,The 12-story building would go on a disputed lot where the developer once planned 300 apartments,488 North LaSalle Street,"<a href=""https://therealdeal.com/chicago/2019/03/27/midwest-property-group-moving-forward-with-river-north-office-project/"" target=""_blank"" rel=""noopener noreferrer"">Midwest Property</a> Group will move ahead with plans for a River North office project that has a litigious past.",2019,"488 North LaSalle Street Chicago, IL","488 N La Salle St, Chicago, IL 60654, USA","(41.89075589999999, -87.6329597, 0.0)",41.89075589999999,-87.6329597,0.0
1180,https://therealdeal.com/chicago/2019/03/26/dubai-based-investor-pays-72m-for-stake-in-mag-mile-office-tower/,"archive-paywall,cim group,commercial real estate,golub &amp; company,office",https://therealdeal.com/chicago/2019/03/26/dubai-based-investor-pays-72m-for-stake-in-mag-mile-office-tower/,Dubai-based investor pays $72M for stake in Mag Mile office tower,CIM Group cashed out of the 290K-sf building after renovating and boosting occupancy,625 North Michigan Avenue,"<a href=""https://therealdeal.com/chicago/2019/03/26/dubai-based-investor-pays-72m-for-stake-in-mag-mile-office-tower/"" target=""_blank"" rel=""noopener noreferrer"">A Dubai-based</a> investment firm bought into a Magnificent Mile office tower, allowing the seller, CIM Group, to cash out its stake with a substantial return on investment.",2019,"625 North Michigan Avenue Chicago, IL","625 Michigan Ave, Chicago, IL 60611, USA","(41.8931677, -87.62368769999999, 0.0)",41.8931677,-87.62368769999999,0.0
1181,https://therealdeal.com/chicago/2019/03/26/corporate-makeover-ulta-beauty-expanding-suburban-headquarters/,"archive-paywall,colliers international,commercial real estate,office",https://therealdeal.com/chicago/2019/03/26/corporate-makeover-ulta-beauty-expanding-suburban-headquarters/,Corporate Makeover: Ulta Beauty expanding suburban headquarters,The beauty retailer is adding 70K sf to its Bolingbrook campus,1000 Remington Boulevard,"<a href=""https://therealdeal.com/chicago/2019/03/26/corporate-makeover-ulta-beauty-expanding-suburban-headquarters/"" target=""_blank"" rel=""noopener noreferrer"">Ulta Beauty is</a> expanding its Bolingbrook headquarters, a win for a suburban office market that has lost major corporate tenants to Downtown Chicago in recent years.",2019,"1000 Remington Boulevard Chicago, IL","1000 Remington Blvd, Bolingbrook, IL 60440, USA","(41.68006250000001, -88.1062547, 0.0)",41.68006250000001,-88.1062547,0.0
1182,https://therealdeal.com/chicago/2019/03/25/noah-properties-lands-87m-loan-for-noble-square-condo-buildings/,"archive-paywall,condominiums,residential real estate",https://therealdeal.com/chicago/2019/03/25/noah-properties-lands-87m-loan-for-noble-square-condo-buildings/,Noah Properties lands $87M loan for Noble Square condo buildings,The busy developer is planning a row of six-flats spanning 48 units at 1334 West Walton Street,1370 West Walton Street,"<a href=""https://therealdeal.com/chicago/2019/03/25/noah-properties-lands-87m-loan-for-noble-square-condo-buildings/"" target=""_blank"" rel=""noopener noreferrer"">Noah Properties took</a> out a $87 million mortgage on a vacant block in Noble Square where it plans to build a row of walk-up condo buildings.",2019,"1370 West Walton Street Chicago, IL","1370 W Walton St, Chicago, IL 60642, USA","(41.8990574, -87.66226879999999, 0.0)",41.8990574,-87.66226879999999,0.0
1183,https://therealdeal.com/chicago/2019/03/22/chicago-cheat-sheet-mall-owner-gets-more-time-to-pay-off-big-debt-more/,"archive-paywall,commercial real estate,fulton market,loop,office,retail",https://therealdeal.com/chicago/2019/03/22/chicago-cheat-sheet-mall-owner-gets-more-time-to-pay-off-big-debt-more/,Chicago Cheat Sheet: Mall owner gets more time to pay off big debt … & more,"Also, medical technology firm joins trend of maintaining offices in suburbs and Downtown",30 West Monroe Street,"<a href=""https://therealdeal.com/chicago/2019/03/22/chicago-cheat-sheet-mall-owner-gets-more-time-to-pay-off-big-debt-more/"" target=""_blank"" rel=""noopener noreferrer"">Yorktown Center</a> owner gets extension on $114M debt",2019,"30 West Monroe Street Chicago, IL","Inland Steel Building, 30 W Monroe St, Chicago, IL 60603, USA","(41.8810447, -87.6288762, 0.0)",41.8810447,-87.6288762,0.0
1184,https://therealdeal.com/chicago/2019/03/21/jennifer-pritzker-culling-real-estate-portfolio-on-north-shore-gold-coast/,"archive-paywall,evanston,gold coast,jennifer pritzker,residential real estate",https://therealdeal.com/chicago/2019/03/21/jennifer-pritzker-culling-real-estate-portfolio-on-north-shore-gold-coast/,"Jennifer Pritzker culling real estate portfolio on North Shore, Gold Coast",Billionaire cousin of Gov. J.B. Pritzker sold one high-priced home and listed another,1234 North St,"<a href=""https://therealdeal.com/chicago/2019/03/21/jennifer-pritzker-culling-real-estate-portfolio-on-north-shore-gold-coast/"" target=""_blank"" rel=""noopener noreferrer"">Billionaire Jennifer</a> Pritzker is continuing to cull her Chicago-area real estate portfolio, selling an Evanston mansion and listing a Gold Coast rowhouse in the same week.",2019,"1234 North St Chicago, IL","Chicago, IL, USA","(41.8781136, -87.6297982, 0.0)",41.8781136,-87.6297982,0.0
1185,https://therealdeal.com/chicago/2019/03/20/noah-properties-sets-out-to-expand-galewood-flats-gated-apartments/,"archive-paywall,apartments,commercial real estate",https://therealdeal.com/chicago/2019/03/20/noah-properties-sets-out-to-expand-galewood-flats-gated-apartments/,Noah Properties sets out to expand Galewood Flats gated apartments,"The developer filed for permits to build 39 units spread among 8 buildings, plus a community center",2114 and 2158 North Nashville Avenue,"<a href=""https://therealdeal.com/chicago/2019/03/20/noah-properties-sets-out-to-expand-galewood-flats-gated-apartments/"" target=""_blank"" rel=""noopener noreferrer"">Noah Properties is</a> moving forward with plans to build a cluster of small apartment buildings and a community center in the city’s Galewood neighborhood, expanding an existing gated rental complex.",2019,"2114 and 2158 North Nashville Avenue Chicago, IL","2158 N Nashville Ave, Chicago, IL 60707, USA","(41.9201407, -87.79026309999999, 0.0)",41.9201407,-87.79026309999999,0.0
