,MLS#,Unique,Final Agent/Team,agent_type,TRD Notes,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,SOLD DATE,PRICE,URL,full_address,geo_address,loc,point,lat,lon,altitude
2954,11319543.0,11319543/MG Group Chicago/Buyer,MG Group Chicago,Buyer,Fixed,,2942 W Belle Plaine AVE 1E,Chicago,IL,,,"$353,000",,2942 W Belle Plaine AVE 1E Chicago IL,2942 W Belle Plaine AVE 1E Chicago IL,"2942 W Belle Plaine Ave #1e, Chicago, IL 60618, USA","(41.9559182, -87.70242329999999, 0.0)",41.9559182,-87.70242329999999,0.0
2955,11319078.0,11319078/MG Group Chicago/List,MG Group Chicago,List,Fixed,,4842 N Damen AVE 1,Chicago,IL,,,"$650,000",,4842 N Damen AVE 1 Chicago IL,4842 N Damen AVE 1 Chicago IL,"4842 N Damen Ave APT 1, Chicago, IL 60625, USA","(41.9700302, -87.6795858, 0.0)",41.9700302,-87.6795858,0.0
2956,11311253.0,11311253/MG Group Chicago/Buyer,MG Group Chicago,Buyer,Fixed,,5801 N Sheridan RD 5B,Chicago,IL,,,"$187,000",,5801 N Sheridan RD 5B Chicago IL,5801 N Sheridan RD 5B Chicago IL,"5801 N Sheridan Rd #5b, Chicago, IL 60660, USA","(41.9876669, -87.6546797, 0.0)",41.9876669,-87.6546797,0.0
2957,11309886.0,11309886/MG Group Chicago/List,MG Group Chicago,List,Fixed,,212 W WASHINGTON ST 2103,Chicago,IL,,,"$308,000",,212 W WASHINGTON ST 2103 Chicago IL,212 W WASHINGTON ST 2103 Chicago IL,"212 W Washington St #2103, Chicago, IL 60606, USA","(41.8833756, -87.634418, 0.0)",41.8833756,-87.634418,0.0
2958,11309882.0,11309882/MG Group Chicago/List,MG Group Chicago,List,Fixed,,5243 W Berenice AVE,Chicago,IL,,,"$674,500",,5243 W Berenice AVE Chicago IL,5243 W Berenice AVE Chicago IL,"5243 W Berenice Ave, Chicago, IL 60641, USA","(41.9503299, -87.7587684, 0.0)",41.9503299,-87.7587684,0.0
2959,11303102.0,11303102/MG Group Chicago/Buyer,MG Group Chicago,Buyer,Fixed,,303 W OHIO ST 3804,Chicago,IL,,,"$350,000",,303 W OHIO ST 3804 Chicago IL,303 W OHIO ST 3804 Chicago IL,"303 W Ohio St APT 3804, Chicago, IL 60654, USA","(41.8921242, -87.6360649, 0.0)",41.8921242,-87.6360649,0.0
2960,11302369.0,11302369/MG Group Chicago/Buyer,MG Group Chicago,Buyer,Fixed,,3125 W Fullerton AVE 405,Chicago,IL,,,"$371,000",,3125 W Fullerton AVE 405 Chicago IL,3125 W Fullerton AVE 405 Chicago IL,"3125 W Fullerton Ave APT 405, Chicago, IL 60647, USA","(41.9244338, -87.7056259, 0.0)",41.9244338,-87.7056259,0.0
2961,11301110.0,11301110/MG Group Chicago/List,MG Group Chicago,List,Fixed,,400 N CLINTON ST 507,Chicago,IL,,,"$312,500",,400 N CLINTON ST 507 Chicago IL,400 N CLINTON ST 507 Chicago IL,"400 N Clinton St #507, Chicago, IL 60654, USA","(41.8893482, -87.6407504, 0.0)",41.8893482,-87.6407504,0.0
2962,11301072.0,11301072/MG Group Chicago/List,MG Group Chicago,List,Fixed,,600 N Fairbanks CT 2706,Chicago,IL,,,"$409,500",,600 N Fairbanks CT 2706 Chicago IL,600 N Fairbanks CT 2706 Chicago IL,"600 N Fairbanks Ct UNIT 2706, Chicago, IL 60611, USA","(41.8930264, -87.6206466, 0.0)",41.8930264,-87.6206466,0.0
2963,11301067.0,11301067/MG Group Chicago/List,MG Group Chicago,List,Fixed,,1626 N HERMITAGE AVE,Chicago,IL,,,"$1,545,000",,1626 N HERMITAGE AVE Chicago IL,1626 N HERMITAGE AVE Chicago IL,"1626 N Hermitage Ave, Chicago, IL 60622, USA","(41.9114607, -87.67168430000001, 0.0)",41.9114607,-87.67168430000001,0.0
2964,11299725.0,11299725/MG Group Chicago/Buyer,MG Group Chicago,Buyer,Fixed,,212 W WASHINGTON ST 809,Chicago,IL,,,"$365,000",,212 W WASHINGTON ST 809 Chicago IL,212 W WASHINGTON ST 809 Chicago IL,"212 W Washington St Ste 809, Chicago, IL 60606, USA","(41.8836403, -87.6347583, 0.0)",41.8836403,-87.6347583,0.0
2965,11296771.0,11296771/MG Group Chicago/List,MG Group Chicago,List,Fixed,,6351 N HERMITAGE AVE,Chicago,IL,,,"$1,130,000",,6351 N HERMITAGE AVE Chicago IL,6351 N HERMITAGE AVE Chicago IL,"6351 N Hermitage Ave, Chicago, IL 60660, USA","(41.9970821, -87.6731578, 0.0)",41.9970821,-87.6731578,0.0
2966,11291392.0,11291392/MG Group Chicago/Buyer,MG Group Chicago,Buyer,Fixed,,3830 N Christiana AVE,Chicago,IL,,,"$330,000",,3830 N Christiana AVE Chicago IL,3830 N Christiana AVE Chicago IL,"3830 N Christiana Ave, Chicago, IL 60618, USA","(41.9511826, -87.71185439999999, 0.0)",41.9511826,-87.71185439999999,0.0
2967,11314990.0,11314990/MG Group Chicago/List,MG Group Chicago,List,Fixed,,600 N Fairbanks CT 2903,Chicago,IL,,3/1/22,"$400,000",https://www.compass.com/listing/600-north-fairbanks-court-unit-2903-chicago-il-60611/971981578745928041/,600 N Fairbanks CT 2903 Chicago IL,600 N Fairbanks CT 2903 Chicago IL,"600 N Fairbanks Ct UNIT 2903, Chicago, IL 60611, USA","(41.8930264, -87.6206466, 0.0)",41.8930264,-87.6206466,0.0
2968,11314990.0,11314990/MG Group Chicago/Buyer,MG Group Chicago,Buyer,Fixed,,600 N Fairbanks CT 2903,Chicago,IL,,3/1/22,"$400,000",https://www.compass.com/listing/600-north-fairbanks-court-unit-2903-chicago-il-60611/971981578745928041/,600 N Fairbanks CT 2903 Chicago IL,600 N Fairbanks CT 2903 Chicago IL,"600 N Fairbanks Ct UNIT 2903, Chicago, IL 60611, USA","(41.8930264, -87.6206466, 0.0)",41.8930264,-87.6206466,0.0
2969,11285703.0,11285703/MG Group Chicago/List,MG Group Chicago,List,Fixed,,552 W Brompton AVE 1S,Chicago,IL,,,"$535,000",,552 W Brompton AVE 1S Chicago IL,552 W Brompton AVE 1S Chicago IL,"552 W Brompton Ave #1s, Chicago, IL 60657, USA","(41.947163, -87.6448609, 0.0)",41.947163,-87.6448609,0.0
2970,11285702.0,11285702/MG Group Chicago/List,MG Group Chicago,List,Fixed,,4822 N NATCHEZ AVE,Chicago,IL,,,"$580,000",,4822 N NATCHEZ AVE Chicago IL,4822 N NATCHEZ AVE Chicago IL,"4822 N Natchez Ave, Chicago, IL 60656, USA","(41.9691033, -87.7894851, 0.0)",41.9691033,-87.7894851,0.0
2971,11281876.0,11281876/MG Group Chicago/List,MG Group Chicago,List,Fixed,,400 E RANDOLPH ST 3324,Chicago,IL,,,"$290,800",,400 E RANDOLPH ST 3324 Chicago IL,400 E RANDOLPH ST 3324 Chicago IL,"400 E Randolph St #3324, Chicago, IL 60601, USA","(41.8848489, -87.6168112, 0.0)",41.8848489,-87.6168112,0.0
2972,11281871.0,11281871/MG Group Chicago/List,MG Group Chicago,List,Fixed,,6507 N Greenview AVE 3,Chicago,IL,,,"$270,000",,6507 N Greenview AVE 3 Chicago IL,6507 N Greenview AVE 3 Chicago IL,"6507 N Greenview Ave APT 3, Chicago, IL 60626, USA","(42.0001734, -87.66764049999999, 0.0)",42.0001734,-87.66764049999999,0.0
2973,11281853.0,11281853/MG Group Chicago/List,MG Group Chicago,List,Fixed,,4568 N MULLIGAN AVE,Chicago,IL,,,"$412,000",,4568 N MULLIGAN AVE Chicago IL,4568 N MULLIGAN AVE Chicago IL,"4568 N Mulligan Ave, Chicago, IL 60630, USA","(41.964042, -87.7859501, 0.0)",41.964042,-87.7859501,0.0
2974,11277590.0,11277590/MG Group Chicago/List,MG Group Chicago,List,Fixed,,440 N WABASH AVE 4706,Chicago,IL,,,"$410,000",,440 N WABASH AVE 4706 Chicago IL,440 N WABASH AVE 4706 Chicago IL,"Plaza 440, 440 N Wabash Ave APT 4706, Chicago, IL 60611, USA","(41.8904191, -87.627462, 0.0)",41.8904191,-87.627462,0.0
2975,11271682.0,11271682/MG Group Chicago/List,MG Group Chicago,List,Fixed,,600 N Lake Shore DR 1501,Chicago,IL,,,"$765,000",,600 N Lake Shore DR 1501 Chicago IL,600 N Lake Shore DR 1501 Chicago IL,"600 N Lake Shore Dr. APT 1501, Chicago, IL 60611, USA","(41.89306939999999, -87.61510369999999, 0.0)",41.89306939999999,-87.61510369999999,0.0
2976,11270281.0,11270281/MG Group Chicago/List,MG Group Chicago,List,Fixed,,2401 W OHIO ST 31,Chicago,IL,,,"$895,000",,2401 W OHIO ST 31 Chicago IL,2401 W OHIO ST 31 Chicago IL,"2401 W Ohio St #31, Chicago, IL 60612, USA","(41.89187709999999, -87.68717219999999, 0.0)",41.89187709999999,-87.68717219999999,0.0
2977,11270272.0,11270272/MG Group Chicago/List,MG Group Chicago,List,Fixed,,550 W SURF ST 418,Chicago,IL,,,"$250,000",,550 W SURF ST 418 Chicago IL,550 W SURF ST 418 Chicago IL,"550 W Surf St #418, Chicago, IL 60657, USA","(41.9347284, -87.6438881, 0.0)",41.9347284,-87.6438881,0.0
2978,11266085.0,11266085/MG Group Chicago/Buyer,MG Group Chicago,Buyer,Fixed,,505 N MCCLURG CT 2801,Chicago,IL,,,"$542,000",,505 N MCCLURG CT 2801 Chicago IL,505 N MCCLURG CT 2801 Chicago IL,"505 N McClurg Ct APT 2801, Chicago, IL 60611, USA","(41.8914796, -87.6164532, 0.0)",41.8914796,-87.6164532,0.0
2979,11265306.0,11265306/MG Group Chicago/List,MG Group Chicago,List,Fixed,,5724 N Western AVE,Chicago,IL,,,"$635,000",,5724 N Western AVE Chicago IL,5724 N Western AVE Chicago IL,"5724 N Western Ave, Chicago, IL 60659, USA","(41.9857336, -87.68983410000001, 0.0)",41.9857336,-87.68983410000001,0.0
